timestamp_hour,instance_type,instance_count,gpu_utilization,instance_hourly_rate
2025-11-03 00:00:00.000000 UTC,g2-standard-32,45,0.799448953,1.735737348
2025-11-03 00:00:00.000000 UTC,g2-standard-24,19,0.949753932,2.002202737
2025-11-03 01:00:00.000000 UTC,g2-standard-24,19,0.81217628,2.002202737
2025-11-03 01:00:00.000000 UTC,g2-standard-32,45,0.91815647,1.735737348
2025-11-03 02:00:00.000000 UTC,g2-standard-32,102,0.666943327,1.735737348
2025-11-03 02:00:00.000000 UTC,g2-standard-24,40,0.680873931,2.002202737
2025-11-03 03:00:00.000000 UTC,g2-standard-24,40,0.406321509,2.002202737
2025-11-03 03:00:00.000000 UTC,g2-standard-32,102,0.739992043,1.735737348
2025-11-03 04:00:00.000000 UTC,g2-standard-32,102,0.8174366,1.735737348
2025-11-03 04:00:00.000000 UTC,g2-standard-24,40,0.887392073,2.002202737
2025-11-03 05:00:00.000000 UTC,g2-standard-32,102,0.91350779,1.735737348
2025-11-03 05:00:00.000000 UTC,g2-standard-24,40,0.828263745,2.002202737
2025-11-03 06:00:00.000000 UTC,g2-standard-32,102,0.961077635,1.735737348
2025-11-03 06:00:00.000000 UTC,g2-standard-24,40,0.713360824,2.002202737
2025-11-03 07:00:00.000000 UTC,g2-standard-32,102,0.908067376,1.735737348
2025-11-03 07:00:00.000000 UTC,g2-standard-24,40,0.569005643,2.002202737
2025-11-03 08:00:00.000000 UTC,g2-standard-24,40,0.439774022,2.002202737
2025-11-03 08:00:00.000000 UTC,g2-standard-32,102,0.701678764,1.735737348
2025-11-03 09:00:00.000000 UTC,g2-standard-32,102,0.789245321,1.735737348
2025-11-03 09:00:00.000000 UTC,g2-standard-24,40,0.580967403,2.002202737
2025-11-03 10:00:00.000000 UTC,g2-standard-24,40,0.448470868,2.002202737
2025-11-03 10:00:00.000000 UTC,g2-standard-32,102,0.566563171,1.735737348
2025-11-03 11:00:00.000000 UTC,g2-standard-32,102,0.484127712,1.735737348
2025-11-03 11:00:00.000000 UTC,g2-standard-24,40,0.908046906,2.002202737
2025-11-03 12:00:00.000000 UTC,g2-standard-24,40,0.775653049,2.002202737
2025-11-03 12:00:00.000000 UTC,g2-standard-32,102,0.988880195,1.735737348
2025-11-03 13:00:00.000000 UTC,g2-standard-24,40,0.577181692,2.002202737
2025-11-03 13:00:00.000000 UTC,g2-standard-32,102,0.510317753,1.735737348
2025-11-03 14:00:00.000000 UTC,g2-standard-24,40,0.736769801,2.002202737
2025-11-03 14:00:00.000000 UTC,g2-standard-32,102,0.899103564,1.735737348
2025-11-03 15:00:00.000000 UTC,g2-standard-32,102,0.679574337,1.735737348
2025-11-03 15:00:00.000000 UTC,g2-standard-24,40,0.436393065,2.002202737
2025-11-03 16:00:00.000000 UTC,g2-standard-24,40,0.497385725,2.002202737
2025-11-03 16:00:00.000000 UTC,g2-standard-32,102,0.911175483,1.735737348
2025-11-03 17:00:00.000000 UTC,g2-standard-24,40,0.924521416,2.002202737
2025-11-03 17:00:00.000000 UTC,g2-standard-32,102,0.982523836,1.735737348
2025-11-03 18:00:00.000000 UTC,g2-standard-32,102,0.678649716,1.735737348
2025-11-03 18:00:00.000000 UTC,g2-standard-24,40,0.956542883,2.002202737
2025-11-03 19:00:00.000000 UTC,g2-standard-24,40,0.595206318,2.002202737
2025-11-03 19:00:00.000000 UTC,g2-standard-32,102,0.937382628,1.735737348
2025-11-03 20:00:00.000000 UTC,g2-standard-24,40,0.719903375,2.002202737
2025-11-03 20:00:00.000000 UTC,g2-standard-32,102,0.724850157,1.735737348
2025-11-03 21:00:00.000000 UTC,g2-standard-32,102,0.610386331,1.735737348
2025-11-03 21:00:00.000000 UTC,g2-standard-24,40,0.911378051,2.002202737
2025-11-03 22:00:00.000000 UTC,g2-standard-24,40,0.717954033,2.002202737
2025-11-03 22:00:00.000000 UTC,g2-standard-32,102,0.794602385,1.735737348
2025-11-03 23:00:00.000000 UTC,g2-standard-24,40,0.903430736,2.002202737
2025-11-03 23:00:00.000000 UTC,g2-standard-32,102,0.799018551,1.735737348
2025-11-04 00:00:00.000000 UTC,g2-standard-24,40,0.4781735,2.002202737
2025-11-04 00:00:00.000000 UTC,g2-standard-32,102,0.42134274,1.735737348
2025-11-04 01:00:00.000000 UTC,g2-standard-32,102,0.407494751,1.735737348
2025-11-04 01:00:00.000000 UTC,g2-standard-24,40,0.730115542,2.002202737
2025-11-04 02:00:00.000000 UTC,g2-standard-24,40,0.593405639,2.002202737
2025-11-04 02:00:00.000000 UTC,g2-standard-32,109,0.961274617,1.735737348
2025-11-04 03:00:00.000000 UTC,g2-standard-24,21,0.722327192,2.002202737
2025-11-04 03:00:00.000000 UTC,g2-standard-32,109,0.485426034,1.735737348
2025-11-04 04:00:00.000000 UTC,g2-standard-24,21,0.883398141,2.002202737
2025-11-04 04:00:00.000000 UTC,g2-standard-32,109,0.84112337,1.735737348
2025-11-04 05:00:00.000000 UTC,g2-standard-32,109,0.974177661,1.735737348
2025-11-04 05:00:00.000000 UTC,g2-standard-24,21,0.576468366,2.002202737
2025-11-04 06:00:00.000000 UTC,g2-standard-32,109,0.441759691,1.735737348
2025-11-04 06:00:00.000000 UTC,g2-standard-24,21,0.574261698,2.002202737
2025-11-04 07:00:00.000000 UTC,g2-standard-24,21,0.911716831,2.002202737
2025-11-04 07:00:00.000000 UTC,g2-standard-32,109,0.474955272,1.735737348
2025-11-04 08:00:00.000000 UTC,g2-standard-24,21,0.465243699,2.002202737
2025-11-04 08:00:00.000000 UTC,g2-standard-32,109,0.681443741,1.735737348
2025-11-04 09:00:00.000000 UTC,g2-standard-24,21,0.972606791,2.002202737
2025-11-04 09:00:00.000000 UTC,g2-standard-32,109,0.973569896,1.735737348
2025-11-04 10:00:00.000000 UTC,g2-standard-24,21,0.756221925,2.002202737
2025-11-04 10:00:00.000000 UTC,g2-standard-32,109,0.927676516,1.735737348
2025-11-04 11:00:00.000000 UTC,g2-standard-24,21,0.592268339,2.002202737
2025-11-04 11:00:00.000000 UTC,g2-standard-32,109,0.817787628,1.735737348
2025-11-04 12:00:00.000000 UTC,g2-standard-32,109,0.713508874,1.735737348
2025-11-04 12:00:00.000000 UTC,g2-standard-24,21,0.448735424,2.002202737
2025-11-04 13:00:00.000000 UTC,g2-standard-24,21,0.749854869,2.002202737
2025-11-04 13:00:00.000000 UTC,g2-standard-32,109,0.922250812,1.735737348
2025-11-04 14:00:00.000000 UTC,g2-standard-24,21,0.433480879,2.002202737
2025-11-04 14:00:00.000000 UTC,g2-standard-32,109,0.781418723,1.735737348
2025-11-04 15:00:00.000000 UTC,g2-standard-24,21,0.899187392,2.002202737
2025-11-04 15:00:00.000000 UTC,g2-standard-32,109,0.48147018,1.735737348
2025-11-04 16:00:00.000000 UTC,g2-standard-32,109,0.748437945,1.735737348
2025-11-04 16:00:00.000000 UTC,g2-standard-24,21,0.78119983,2.002202737
2025-11-04 17:00:00.000000 UTC,g2-standard-24,21,0.559972387,2.002202737
2025-11-04 17:00:00.000000 UTC,g2-standard-32,109,0.912275527,1.735737348
2025-11-04 18:00:00.000000 UTC,g2-standard-24,21,0.744404458,2.002202737
2025-11-04 18:00:00.000000 UTC,g2-standard-32,109,0.894437546,1.735737348
2025-11-04 19:00:00.000000 UTC,g2-standard-24,21,0.72046639,2.002202737
2025-11-04 19:00:00.000000 UTC,g2-standard-32,109,0.5211181,1.735737348
2025-11-04 20:00:00.000000 UTC,g2-standard-32,109,0.991423676,1.735737348
2025-11-04 20:00:00.000000 UTC,g2-standard-24,21,0.722154777,2.002202737
2025-11-04 21:00:00.000000 UTC,g2-standard-24,21,0.433371185,2.002202737
2025-11-04 21:00:00.000000 UTC,g2-standard-32,109,0.679062031,1.735737348
2025-11-04 22:00:00.000000 UTC,g2-standard-32,109,0.9005006,1.735737348
2025-11-04 22:00:00.000000 UTC,g2-standard-24,21,0.866192767,2.002202737
2025-11-04 23:00:00.000000 UTC,g2-standard-24,21,0.77077108,2.002202737
